Source IP, Destination IP, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Fwd Packet Length Mean, Flow Packets/s, Flow Bytes/s, Label
192.168.10.50, 172.16.0.1, 49152, 80, 6, 120500, 45, 30, 4200, 93.3, 622.4, 34854.7, BENIGN
185.190.140.22, 192.168.10.50, 54321, 22, 6, 8500, 120, 80, 12400, 103.3, 23529.4, 1458823.5, SSH-Patator
192.168.10.51, 172.16.0.1, 51234, 443, 6, 350000, 18, 12, 1800, 100.0, 85.7, 5142.8, BENIGN
205.174.165.73, 192.168.10.50, 43210, 80, 6, 2500, 850, 400, 68000, 80.0, 500000.0, 27200000.0, DoS Slowloris
192.168.10.52, 10.0.0.1, 60123, 53, 17, 450, 2, 2, 180, 90.0, 8888.8, 400000.0, BENIGN
194.26.29.112, 192.168.10.50, 39100, 8080, 6, 1500, 240, 110, 18200, 75.8, 233333.3, 12133333.3, DDoS
192.168.10.53, 172.16.0.1, 48100, 443, 6, 18500, 14, 10, 1250, 89.2, 1297.2, 67567.5, BENIGN
45.133.1.88, 192.168.10.50, 58210, 1433, 6, 920, 4, 0, 160, 40.0, 4347.8, 173913.0, PortScan
192.168.10.54, 8.8.8.8, 59200, 53, 17, 320, 2, 2, 150, 75.0, 12500.0, 468750.0, BENIGN
185.220.101.5, 192.168.10.50, 44102, 21, 6, 4200, 65, 40, 5200, 80.0, 25000.0, 1238095.2, FTP-Patator
