source_ip,destination_ip,source_port,destination_port,protocol,flow_duration,packet_count,byte_count,packet_rate,byte_rate,label
10.0.1.15,10.0.2.1,51420,443,TCP,0.045,35,4200,777.78,93333.33,Normal
10.0.1.16,10.0.2.1,51422,80,TCP,0.012,14,1280,1166.67,106666.67,Normal
45.33.32.156,10.0.2.1,49152,22,TCP,0.008,180,14500,22500.0,1812500.0,Brute Force
10.0.1.17,10.0.2.254,61002,53,UDP,0.002,2,140,1000.0,70000.0,Normal
185.220.101.9,10.0.2.1,39120,80,TCP,0.001,4500,380000,4500000.0,380000000.0,DoS
10.0.1.18,10.0.2.1,52100,443,TCP,0.120,55,8900,458.33,74166.67,Normal
194.26.29.5,10.0.2.1,62340,3389,TCP,0.025,95,7800,3800.0,312000.0,PortScan
10.0.1.19,10.0.2.1,53100,8080,TCP,0.060,22,2400,366.67,40000.0,Normal
198.51.100.42,10.0.2.1,48123,80,TCP,0.005,1200,98000,240000.0,19600000.0,Botnet
10.0.1.20,10.0.2.254,62001,53,UDP,0.001,2,150,2000.0,150000.0,Normal
