srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,spkts,dpkts,attack_cat,label
59.166.0.0,1390,149.171.126.4,53,udp,CON,0.001055,132,164,31,29,0,0,dns,500473.9375,621800.9375,2,2,Normal,0
59.166.0.0,33661,149.171.126.9,1024,tcp,FIN,0.036133,528,304,31,29,0,0,-,105388.4219,60664.77344,8,4,Normal,0
175.45.176.0,21484,149.171.126.17,111,udp,INT,0.000004,180,0,254,0,0,0,-,180000000.0,0.0,2,0,Reconnaissance,1
59.166.0.5,4311,149.171.126.1,80,tcp,FIN,0.082141,1044,2824,31,29,2,3,http,95835.20313,264106.8438,18,22,Normal,0
175.45.176.3,47439,149.171.126.18,80,tcp,FIN,0.493977,2080,2224,254,252,5,6,http,32746.46484,35094.75,26,24,Backdoor,1
175.45.176.1,1043,149.171.126.15,80,tcp,FIN,0.214112,890,1420,254,252,2,3,http,31011.80859,49693.61719,10,14,Exploits,1
59.166.0.2,2841,149.171.126.3,443,tcp,FIN,0.051412,1200,4500,31,29,1,2,-,175056.4063,657434.0625,14,20,Normal,0
175.45.176.2,5192,149.171.126.13,80,tcp,FIN,0.612019,4120,890,254,252,10,2,http,51567.02734,11143.44531,34,16,DoS,1
59.166.0.8,6120,149.171.126.0,53,udp,CON,0.000982,146,178,31,29,0,0,dns,594704.6875,725050.9375,2,2,Normal,0
175.45.176.0,17290,149.171.126.11,21,tcp,FIN,0.114120,940,620,254,252,1,1,ftp,62390.46484,41184.71875,12,10,Fuzzers,1
